,country,year,cf_tot_domestic,cf_tot_usaid,cf_tot_gf,cf_lab,cf_tot_grnt,cf_tot_sources,budget_lab,budget_tot,budget_gap
1403,Uganda,2021,4000000.0,10200000.0,9700000.0,7820288.0,5985992.0,29885992.0,10426290.0,44686940.0,14800948.0
1404,Uganda,2022,4000000.0,11000000.0,10000000.0,7815288.0,5985992.0,30985992.0,11426295.0,46680031.0,15694039.0
1405,Uganda,2023,4000000.0,11000000.0,10000000.0,7815288.0,5985992.0,30985992.0,11426295.0,49638700.0,18652708.0
1406,Uganda,2024,6052000.0,9250000.0,13436978.0,11076939.0,6000000.0,34738978.0,11426295.0,47360176.0,12621198.0
1407,Ukraine,2018,23459844.0,,12714413.0,5357827.0,,36174257.0,5357827.0,36174257.0,0.0
1408,Ukraine,2019,46958677.0,,7240183.0,6284684.0,,54198860.0,6284684.0,60342684.0,6143824.0
1409,Ukraine,2020,60168525.0,581500.0,14232058.0,5030465.0,0.0,74982083.0,5030465.0,147710296.0,72728213.0
1410,Ukraine,2021,65706167.0,6804000.0,40611201.0,10033677.0,0.0,113121368.0,10077913.0,133124063.0,20002695.0
1411,Ukraine,2022,113828000.0,420000.0,27876000.0,5003000.0,0.0,142124000.0,5221000.0,158267000.0,16143000.0
1412,Ukraine,2023,38064864.0,9000000.0,37717412.0,8021762.0,794629.0,85576905.0,8021762.0,105477752.0,19900847.0
1413,Ukraine,2024,49422444.0,10900000.0,25821458.0,4782702.0,0.0,86143902.0,4800976.0,90329800.0,4185898.0
1428,United Republic of Tanzania,2018,1766642.0,12275953.0,16091737.0,3360616.0,750000.0,30884332.0,23063598.0,63941067.0,33056735.0
1429,United Republic of Tanzania,2019,2357684.0,3697865.0,10577886.0,2138195.0,837503.0,17470938.0,23063593.0,61928625.0,44457687.0
1430,United Republic of Tanzania,2020,12208599.0,15813613.0,11268848.0,1631454.0,1796660.0,41087720.0,15279200.0,76063488.0,34975768.0
1431,United Republic of Tanzania,2021,11842341.0,7980000.0,12930276.0,3739320.0,500000.0,33252617.0,10549672.0,53388379.0,20135762.0
1432,United Republic of Tanzania,2022,4197284.0,8000000.0,15030195.0,4397569.0,4578298.0,31805777.0,9060130.0,48641029.0,16835252.0
1433,United Republic of Tanzania,2023,8907034.0,8000000.0,20694436.0,7535458.0,6773899.0,44375369.0,9391421.0,61821552.0,17446183.0
1434,United Republic of Tanzania,2024,8907034.0,8000000.0,22590615.0,7606505.0,9713726.0,49211375.0,9027708.0,71163709.0,21952334.0
1435,United States of America,2018,,,,,,,,135034000.0,
1436,United States of America,2019,,,,,,,,135034000.0,
1437,United States of America,2020,,,,,,,,135034000.0,
1438,United States of America,2021,,,,,,,,135034000.0,
1439,United States of America,2022,,,,,,,,135034000.0,
1440,United States of America,2023,,,,,,,,137034000.0,
1441,United States of America,2024,,,,,,,,137034000.0,
1442,Uruguay,2018,4695350.0,,,227614.0,,4695350.0,227614.0,4695350.0,0.0
1443,Uruguay,2019,5069100.0,0.0,0.0,245732.0,0.0,5069100.0,245732.0,5069100.0,0.0
1444,Uruguay,2020,5509982.0,0.0,0.0,267332.0,0.0,5509982.0,267332.0,5509982.0,0.0
1445,Uruguay,2021,,,,,,,,4253647.0,
1446,Uruguay,2022,,,,,,,,4112547.0,
1447,Uruguay,2023,,,,,,,,5149739.0,
1448,Uruguay,2024,,,,,,,,5263840.0,
1449,Uzbekistan,2018,,910319.0,9845430.0,1471080.0,291954.0,11047703.0,1471080.0,11047703.0,0.0
1456,Vanuatu,2018,114293.0,0.0,180000.0,2000.0,20000.0,314293.0,2000.0,314293.0,0.0
1457,Vanuatu,2019,219869.0,0.0,155031.0,2000.0,32361.0,407261.0,2000.0,407261.0,0.0
1458,Vanuatu,2020,10576.0,,90326.0,2000.0,216391.0,317293.0,2000.0,317293.0,0.0
1459,Vanuatu,2021,195605.0,,204258.0,0.0,127846.0,527709.0,0.0,527709.0,0.0
1460,Vanuatu,2022,129.0,,272.0,50.0,213.0,614.0,50.0,614.0,0.0
1461,Vanuatu,2023,2500.0,,360000.0,60000.0,40000.0,402500.0,100000.0,887000.0,484500.0
1462,Vanuatu,2024,2000.0,0.0,176500.0,7300.0,0.0,178500.0,10000.0,360000.0,181500.0
1463,Venezuela (Bolivarian Republic of),2018,394777.0,0.0,0.0,0.0,0.0,394777.0,1350000.0,2850777.0,2456000.0
1464,Venezuela (Bolivarian Republic of),2019,559537.0,0.0,0.0,0.0,0.0,559537.0,1007788.0,2673325.0,2113788.0
1465,Venezuela (Bolivarian Republic of),2020,136800.0,0.0,1707628.0,885088.0,85720.0,1930148.0,2300000.0,4379860.0,2449712.0
1466,Venezuela (Bolivarian Republic of),2021,189046.0,0.0,810701.0,395204.0,20000.0,1019747.0,1233277.0,2697820.0,1678073.0
1467,Venezuela (Bolivarian Republic of),2022,713376.0,0.0,1165328.0,719327.0,351149.0,2229853.0,719327.0,2479853.0,250000.0
1468,Venezuela (Bolivarian Republic of),2023,711200.0,0.0,1217580.0,260820.0,0.0,1928780.0,379820.0,2137780.0,209000.0
1469,Venezuela (Bolivarian Republic of),2024,823500.0,0.0,454276.0,214190.0,348534.0,1626310.0,380000.0,2037375.0,411065.0
1470,Viet Nam,2018,7917308.0,,17006869.0,1877007.0,2443092.0,27367269.0,6942607.0,69798158.0,42430889.0
1471,Viet Nam,2019,9803896.0,,15514867.0,1057000.0,1619840.0,26938603.0,6942607.0,71734151.0,44795548.0
1472,Viet Nam,2020,4851064.0,550000.0,16897036.0,924053.0,1758304.0,24056404.0,8642607.0,70541156.0,46484752.0
1473,Viet Nam,2021,4972638.0,883594.0,26813654.0,5985031.0,982002.0,33651888.0,31014669.0,132975703.0,99323815.0
1474,Viet Nam,2022,5560000.0,,23928960.0,3573911.0,951542.0,30440502.0,31415196.0,136717613.0,106277111.0
1475,Viet Nam,2023,86957.0,330000.0,40564352.0,4930027.0,971248.0,41952557.0,31772075.0,149731394.0,107778837.0
1476,Viet Nam,2024,8723528.0,876671.0,19146966.0,1612416.0,537567.0,29284732.0,34949283.0,170647058.0,141362326.0
1479,Wallis and Futuna,2020,,,,,,,,500.0,
1484,Yemen,2018,34400.0,,1992569.0,170000.0,,2026969.0,885434.0,6491272.0,4464303.0
1485,Yemen,2019,292060.0,0.0,881163.0,201125.0,80000.0,1253223.0,275207.0,4250317.0,2997094.0
1486,Yemen,2020,69430.0,0.0,1377506.0,187682.0,0.0,1446936.0,429545.0,4083594.0,2636658.0
1487,Yemen,2021,69090.0,0.0,1651986.0,187682.0,0.0,1721076.0,429545.0,3976243.0,2255167.0
1488,Yemen,2022,69090.0,0.0,1949248.0,673531.0,0.0,2018338.0,673531.0,3818147.0,1799809.0
1489,Yemen,2023,14545.0,0.0,1827816.0,547180.0,0.0,1842361.0,1164450.0,3686999.0,1844638.0
1490,Yemen,2024,14545.0,0.0,1779190.0,547180.0,0.0,1793735.0,1709415.0,5944941.0,4151206.0
1491,Zambia,2018,10612996.0,7000000.0,9044576.0,12124861.0,3612096.0,30269668.0,15624861.0,37757572.0,7487904.0
1492,Zambia,2019,9000000.0,4905459.0,5475748.0,6464317.0,3000000.0,22381207.0,8624861.0,31038850.0,8657643.0
1493,Zambia,2020,10583901.0,5905459.0,22119535.0,6464317.0,3500000.0,42108895.0,8624861.0,49040750.0,6931855.0
1494,Zambia,2021,11750000.0,9644873.0,9409575.0,4000000.0,530000.0,31334448.0,5464317.0,37755340.0,6420892.0
1495,Zambia,2022,15551080.0,10814907.0,10095759.0,4000000.0,743816.0,37205562.0,4464317.0,42978955.0,5773393.0
1496,Zambia,2023,10103231.0,10500368.0,10903874.0,4500000.0,807284.0,32314757.0,5464317.0,34979074.0,2664317.0
1497,Zambia,2024,9993522.0,8400000.0,10303874.0,4500000.0,1612284.0,30309680.0,5464317.0,33623997.0,3314317.0
1498,Zimbabwe,2018,,5600000.0,7203690.0,2042674.0,,12803690.0,2940555.0,29583804.0,16780114.0
1499,Zimbabwe,2019,143204.0,4048457.0,8517038.0,3085333.0,80000.0,12788699.0,3444798.0,41313083.0,28524384.0
1500,Zimbabwe,2020,247705.0,1870556.0,8300758.0,2541507.0,337233.0,10756252.0,3058011.0,31504677.0,20748425.0
1501,Zimbabwe,2021,2096683.0,3284585.0,9803368.0,2401506.0,911965.0,16096601.0,6529001.0,32126351.0,16029750.0
1502,Zimbabwe,2022,1000000.0,3058830.0,9487457.0,1800050.0,1301355.0,14847642.0,3557975.0,22656137.0,7808495.0
1503,Zimbabwe,2023,1000000.0,9378910.0,5774773.0,3644102.0,,16153683.0,4840102.0,17359487.0,1205804.0
1504,Zimbabwe,2024,1000000.0,1937554.0,10241036.0,1600057.0,,13178590.0,25072529.0,57500712.0,44322122.0
