Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,16.9302950898685,16.8815458389923,16.1278038080551,15.8235824504332,15.9236559656703,15.4202070236206,14.8562349775318,15.026434394062,15.3352430921872,14.5879421234131,14.9102820470681,..
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..
Afghanistan,AFG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.327603869657351,0.298647465611095,0.280987881083867,0.247614251046152,0.23589670774426,0.224963910315426,0.202007124113082,0.192221917434848,0.199371857842555,0.166339134816569,0.168477763243707,..
Albania,ALB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,43.6574740650497,44.116008544048,42.89701677571,42.7088500219256,42.3874615379273,42.259562222268,42.3056632943665,40.5518779586953,40.2120768842584,40.5962365523591,39.4929056444505,39.3625610746
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,108.184166666667,105.669166666667,105.48,125.961666666667,124.1425,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667,100.645
Albania,ALB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.40354772122107,0.4174917792628,0.406683890554702,0.339062280129443,0.341441984315825,0.354825093785022,0.391758400121435,0.369154032347623,0.370106552087054,0.39215839018894,0.349365916945037,0.391102996419097
Algeria,DZA,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,32.3948569326334,33.0246550356372,33.4217802011761,34.1662413875974,36.0388086573497,37.458251953125,38.8773498535156,38.3893852233887,37.4388656616211,38.7630996704102,44.5011166577085,41.966491662277
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,77.5359666666667,79.3684,80.5790166666667,100.691433333333,109.443066666667,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333
Algeria,DZA,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.417804255057958,0.416093244107695,0.414770264586078,0.339316269216244,0.329292751429834,0.337543782856016,0.333442708969579,0.321644246444574,0.295313224987704,0.286997163356223,0.313399235837103,0.308933933738585
American Samoa,ASM,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,0.709874590843503,0.701125997361927,0.688545090494479,0.686720483374888,0.682621757490967,0.678233981132507,0.656328009600346,0.64122788740431,0.627878780205223,0.604573547840118,0.588730553261158,0.601311820072143
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,0.845376564367945,0.950915533962108,0.924709622987356
Andorra,AND,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.912038832787333,0.931178084861943,0.914732692796882,0.761925228532853,0.75559614822366,0.7661881617016,0.77509352285557,0.71783827489834,0.71716069963247,0.715053505428999,0.619961907310427,0.650179606338869
Angola,AGO,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,66.0171856203882,66.6955727425879,66.0018757612622,69.5859035283092,82.8633266447229,95.8372421264648,111.44181060791,124.439605712891,146.909133911133,174.090515136719,184.936623659571,209.922137539756
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,95.467955421311,96.5182794791526,98.3024168556335,120.060701665019,163.656434116579,165.915950691498,252.855747731297,364.825804980887,578.25878028011,631.441955506727,460.567511631462,685.020237761449
Angola,AGO,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.691511467071733,0.66892231890813,0.626511613384655,0.451408159659843,0.264176316567577,0.348542002652781,0.345489998832843,0.290879978262779,0.224768108944545,0.259967838981942,0.369985784415244,0.287234512367994
Antigua and Barbuda,ATG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,1.83504087686813,1.86755989889067,1.93511005167144,2.06855869734309,2.09674444871081,2.13833737373352,2.01181793212891,1.92162227630615,1.85506355762482,1.81939482688904,1.81017947393948,1.83044748608644
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Antigua and Barbuda,ATG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.679644769210418,0.691688851440989,0.716707426544978,0.766132850867811,0.776572018041041,0.791976805086489,0.745117752640337,0.711711954187463,0.687060576898081,0.67384993588483,0.670436842199807,0.677943513365348
