quarter,province,district,dots_population,grand_total_new_relapsed_cases,total_new_opd_quarter,presumptive_tb_cases_identified,presumptive_tb_patients_tested_afb_or_genx,confirmed_tb_cases_detected,new_relapse_tb_cases_tested_xpert
Q4 2018,KP,Charsada,,304,34330,30,329,98,61
Q4 2018,KP,Chitral,,132,87171,712,863,42,4
Q4 2018,KP,DI Khan,,478,103186,2084,651,235,315
Q4 2018,KP,Hangu,,290,84505,34,31,88,0
Q4 2018,KP,Karak,,365,78094,1604,0,156,58
Q4 2018,KP,Kohat,,167,8470,396,396,57,0
Q4 2018,KP,Kohistan,,249,86930,1043,1043,104,83
Q4 2018,KP,Haripur,,233,0,0,0,111,0
Q4 2018,KP,Lakki Marwat,,364,130989,829,830,125,113
Q4 2018,KP,Malakand,,451,230178,1592,156,148,205
Q4 2018,KP,Mansehra,,626,279072,2276,2308,195,32
Q4 2018,KP,Mardan,,361,92200,2053,1606,127,37
Q4 2018,KP,Nowshera,,2174,149124,2534,3336,561,513
Q4 2018,KP,Peshawar,,592,71387,1677,1831,147,159
Q4 2018,KP,Shangla,,399,141170,995,921,141,109
Q4 2018,KP,Swabi,,896,208592,1165,899,158,103
Q4 2018,KP,Swat,,163,3672,315,315,61,45
Q4 2018,KP,Tank,,373,142560,1098,1272,76,31
Q4 2018,KP,Lower Dir,,309,140245,1412,132,82,60
Q4 2018,KP,Upper Dir,,198,121728,371,401,48,7
Q4 2018,PJB,Attock,,503,239242,2522,2266,220,130
Q4 2018,PJB,Bahawalpur,,2415,285544,11022,13013,1082,1008
Q4 2018,PJB,Bahawal nagar,,1420,281530,5383,3319,543,1279
Q4 2018,PJB,Bhakkar,,530,177017,2779,2417,243,188
Q4 2018,PJB,Chakwal,,494,159947,2447,2431,172,52
Q4 2018,PJB,Chiniot,,617,116999,3077,3077,300,405
Q4 2018,PJB,Dera ghazi khan,,1542,439409,16449,7978,495,15
Q4 2018,PJB,Faisalabad,,3495,769469,15146,14778,1491,797
Q4 2018,PJB,Gujranwala,,3180,121583,8370,1854,1144,1144
Q4 2018,PJB,Gujrat,,801,465553,3912,3259,307,192
Q4 2018,PJB,Hafizabad,,755,140646,2320,2274,252,352
Q4 2018,PJB,Jhang,,2234,107700,5777,5380,796,635
Q4 2018,PJB,Jhelum,,568,242417,2504,5946,307,275
Q4 2018,PJB,Kasur,,1663,433821,7938,8524,270,177
Q4 2018,PJB,Khanewal,,1229,73816,5111,936,315,410
Q4 2018,PJB,Khushab,,612,178158,2097,2079,265,29
Q4 2018,PJB,Lahore,,4730,1769768,22961,17485,2413,1968
Q4 2018,PJB,Layyah,,640,98028,1614,342,239,95
Q4 2018,PJB,Lodhran,,684,197030,2677,4798,238,253
Q4 2018,PJB,Mandi baha ud din,,921,186846,3125,3508,383,0
Q4 2018,PJB,Mianwali,,624,271683,2289,2196,241,337
Q4 2018,PJB,Multan,,2603,461457,10392,8748,923,398
Q4 2018,PJB,Muzaffar garh,,1784,632740,8355,9627,210,195
Q4 2018,PJB,Nankana saib,,663,164814,3220,3220,311,486
Q4 2018,PJB,Narowal,,621,281929,2439,2439,322,235
Q4 2018,PJB,Okara,,1198,241431,6494,4862,397,311
Q4 2018,PJB,Pak pattan,,899,129241,3650,2848,695,1171
Q4 2018,PJB,Rahim yar khan,,1849,409057,5666,4688,550,605
Q4 2018,PJB,Rajan pur,,1269,166187,4880,4880,477,0
Q4 2018,PJB,Rawalpindi,,2644,350868,13870,11132,766,616
Q4 2018,PJB,Sahiwal,,1275,179133,4364,9252,701,477
Q4 2018,PJB,Sargodha,,2073,510127,8036,9971,889,627
Q4 2018,PJB,Sheikhupura,,1254,605500,5134,4339,444,544
Q4 2018,PJB,Sialkot,,1390,178256,7820,9750,590,524
Q4 2018,PJB,Toba tek singh,,863,262032,2419,2349,260,216
Q4 2018,PJB,Vehari,,1475,916832,5357,4802,549,331
Q4 2018,Sindh,Badin,,630,220828,2695,2682,290,170
Q4 2018,Sindh,Dadu,,686,240812,1587,1498,196,87
Q4 2018,Sindh,Ghotki,,439,262535,2582,2390,252,225
Q4 2018,Sindh,Hyderabad,,1240,162928,4112,3289,445,805
Q4 2018,Sindh,Jacobabad,,375,156849,1605,1475,144,64
Q4 2018,Sindh,JAMSHORO,,1125,159194,3811,3374,721,734
Q4 2018,Sindh,KARACHI-TOTAL,,6078,2931165,36432,32880,2842,3010
Q4 2018,Sindh,KASHMORE,,233,97223,1534,1486,122,96
Q4 2018,Sindh,Kharipur,,1049,245492,6355,5440,472,296
Q4 2018,Sindh,Larkana,,667,277623,3246,3116,373,253
Q4 2018,Sindh,MATIARI,,192,35680,1290,1219,102,153
Q4 2018,Sindh,Mirpur Khas,,825,74502,3041,2768,397,249
Q4 2018,Sindh,Naushahro Feroze,,620,416443,2725,2150,216,132
Q4 2018,Sindh,Nawabshah,,772,152338,2480,2317,293,313
Q4 2018,Sindh,Sanghar,,883,379672,5746,5358,411,322
Q4 2018,Sindh,QAMBER SHAHDAD KOT,,385,272953,3776,2894,216,70
Q4 2018,Sindh,Shikarpur,,437,205151,2704,2651,216,57
Q4 2018,Sindh,Sukkar,,887,443828,4625,3644,306,296
Q4 2018,Sindh,Tando Muhammad Khan,,312,92375,2540,1894,144,152
Q4 2018,Sindh,Tando Allah Yar,,156,102115,1306,1104,80,80
Q4 2018,Sindh,Tharparkar,,323,160484,2995,2623,218,74
Q4 2018,Sindh,Thatta,,214,89842,1638,1630,144,138
Q4 2018,Sindh,Sujawal,,194,89891,1003,898,81,61
Q4 2018,Sindh,Umerkot,,761,317366,2829,2525,281,434
Q4 2018,ICT,Islamabad,,438,35223,1200,1312,66,123
,,,,369548,82290768,1462652,1272235,143717,101889
